Aria | Composer | Opera | Voice/Fach | PDF URL
Qual mi conturba I sensi…Fuor del mar ho un mar in seno/是什么扰乱了我的理智……我胸中翻腾着另一片海洋 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Idomeneo | http://theoperadatabase.com/PDFs/Mozart/Tenor/Fuor%20del%20mar%20ho%20un%20mar%20in%20seno.pdf
Torna la pace al core/安宁重返我心 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Idomeneo | http://theoperadatabase.com/PDFs/Mozart/Tenor/Torna%20la%20pace%20al%20core.pdf
Vedrommi intorno/我将在周围看到 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Idomeneo | http://theoperadatabase.com/PDFs/Mozart/Tenor/Vedrommi%20intorno.pdf
Aer tranquillo e di sereni/宁静晴朗的天空 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Amintas | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT01NCZwMj03MiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjklM0ErSyUzQSsyMDglMkYwMw==&cc=507e2fa91234fdce38875edc9f98b831
Intendo, amico rio/我明白，无情的朋友 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Amintas | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0xNyZwMj0yMCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjklM0ErSyUzQSsyMDg=&cc=64271b065d6e8d51a68be0927c48f5ee
L'amerò, saro costante/我将爱她，矢志不渝 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Amintas | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0yMDQmcDI9MjE2Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGOSUzQStLJTNBKzIwOCUyRjEw&cc=f92ea65aad7f7ded82de28d38bb402ee
Alla selva, al prato, al fonte/森林、草地与泉边 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Elisa | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0yNiZwMj00MyZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjklM0ErSyUzQSsyMDglMkYwMg==&cc=737a15dc1296471f1af22a4148cc1264
Barbaro, oh Dio!/残忍啊，天啊！ | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Elisa | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0xNTMmcDI9MTY3Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGOSUzQStLJTNBKzIwOCUyRjA4&cc=1e9d3ed808f9dedc6fa6606ad3943230
Di tante sue procelle/历经风雨 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Tamyris | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0xMDImcDI9MTE3Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGOSUzQStLJTNBKzIwOCUyRjA2&cc=a14dbab273bb2af9b1479df0ca631eb5
Se tu di me fai dono/若你将我赐予 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Tamyris | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0yMjImcDI9MjI5Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGOSUzQStLJTNBKzIwOCUyRjEx&cc=08d20f1af627494cbc7df59c1155ed5f
Per me rispondete/请为我作答 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Agenor | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT05NCZwMj0xMDAmbD0yJnRpdGxlPU5NQStJSSUyRjUlMkY5JTNBK0slM0ErMjA4JTJGMDU=&cc=493cf621956950953efd6b5c979dc532
Sol può dir/唯有他能倾诉 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Agenor | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0yMzAmcDI9MjQxJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGOSUzQStLJTNBKzIwOCUyRjEy&cc=bb1b75f09013401231e901f332d609ba
Se vicendo vi rendo felici/若我活着能令你们欢欣 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Alexander | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0xODAmcDI9MjAwJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGOSUzQStLJTNBKzIwOCUyRjA5&cc=009cfc490f22e866aa3890eb1c89f169
Si spande il sole in faccia/阳光洒满脸庞 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Alexander | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT03NCZwMj05MCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjklM0ErSyUzQSsyMDglMkYwNA==&cc=efe3457692283a5548e72385b2110dbd
Voi che fausti ognor donate/你们总是慷慨赐予 | Mozart, Wolfgang Amadeus | Il re pastore/牧人王 | Alexander | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00OSZwMT0yNDImcDI9MjU1Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGOSUzQStLJTNBKzIwOCUyRjEz&cc=2fe8e2e757c5cd936b3546590026547f
Biancheggia in mar lo scoglio/海上礁石泛白光 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | La Constanza | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT0xNzQmcDI9MTk1Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNiUzQStLJTNBKzEyNiUyRjA5&cc=5b55ad2b0c4701bc3cef18391a065442
Ciglio che al sol si gira/凝望太阳的睫毛 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | La Constanza | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT03MCZwMj04MSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjYlM0ErSyUzQSsxMjYlMkYwMw==&cc=668fa49f8c61be8f5bfe1141491d653b
A chi serena io miro/我凝望那安详的人 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | La Fortuna | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT0xNjEmcDI9MTcxJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNiUzQStLJTNBKzEyNiUyRjA4&cc=36f3341c96e8bb929a788de2c0973403
Lieve sono al par del vento/我如微风般轻盈 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | La Fortuna | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT00MiZwMj02NiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjYlM0ErSyUzQSsxMjYlMkYwMg==&cc=6d66ec1ba93af0271fcc5371e22d8486
Ah perchè cercar degg'io/啊，为何我仍要追寻 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | Soloist | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT0yMjQmcDI9MjMzJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNiUzQStLJTNBKzEyNiUyRjExYQ==&cc=6b2403ad2163edd1db41c70cfbf6cf4d
Voi collagiù ridete/你们在下面欢笑 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | Emilio | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT0xMzAmcDI9MTQ2Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNiUzQStLJTNBKzEyNiUyRjA2&cc=5cac9595fd37a22605639615a4df4613
Quercia annosa su l'erte pendici/陡峭山坡上的古橡树 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | Publio | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT0xNDkmcDI9MTU3Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNiUzQStLJTNBKzEyNiUyRjA3&cc=82fb0f1a77595f516fd638d976fadaf0
Se vuoi che te reccolgano/若你愿被铭记 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | Publio | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT0xMDMmcDI9MTI1Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNiUzQStLJTNBKzEyNiUyRjA1&cc=9157d6cc0c19db1e00ad891c05ba017b
Di che sei l'arbitra/你是命运的主宰 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | Scipione | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT0xOTcmcDI9MjE0Jmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGNiUzQStLJTNBKzEyNiUyRjEw&cc=4408259ffa5e51a6518bb5838375a472
Risolver non osa confusa la mente/困惑的心不敢决断 | Mozart, Wolfgang Amadeus | Il sogno di Scipione/西庇阿之梦 | Scipione | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD00MSZwMT0yNCZwMj00MSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjYlM0ErSyUzQSsxMjYlMkYwMQ==&cc=a99cdd6282e443c83329601c0b925b7d
Ogni momento dicon le donne/女人们时刻都在说 | Mozart, Wolfgang Amadeus | L'oca del Cairo/开罗之鹅 | Chichibio | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD01OCZwMT0xMyZwMj0xNCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjEzJTJGMSUzQStLJTNBKzQyMiUyRjAz&cc=ec0244913d9e3b9b24e70ffbea274dce
Siano pronte alle gran nozze/盛大的婚礼已准备就绪 | Mozart, Wolfgang Amadeus | L'oca del Cairo/开罗之鹅 | Don Pippo | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD01OCZwMT0xNyZwMj0xOCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjEzJTJGMSUzQStLJTNBKzQyMiUyRjA0&cc=b4082f3cef5ceb60643c2f973e2d0b0d
Se fosse qui nascoso/若他藏身于此 | Mozart, Wolfgang Amadeus | L'oca del Cairo/开罗之鹅 | Auretta | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD01OCZwMT05JnAyPTEyJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGMTMlMkYxJTNBK0slM0ErNDIyJTJGMDI=&cc=30340238eea36c65976a4e7f3c6d0b3f
Tardi s'avvede/悔悟已迟 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Publius | http://theoperadatabase.com/PDFs/Mozart/Bass/Tardi%20s%20avvede.pdf
Deh per questo istante solo/啊，只为了这一刻 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Sextus | http://theoperadatabase.com/PDFs/Mozart/Mezzo/Deh%20per%20questo%20istante%20solo.pdf
Parto, ma tu ben mio/我走了，但我亲爱的 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Sextus | http://theoperadatabase.com/PDFs/Mozart/Mezzo/Parto%20ma%20tu%20ben%20mio.pdf
Torna di Tito a lato/回到提图斯身边 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Annius | http://theoperadatabase.com/PDFs/Mozart/Soprano/Torna%20di%20Tito%20a%20lato.pdf
Tu fosti tradito/你被背叛了 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Annius | http://theoperadatabase.com/PDFs/Mozart/Soprano/Tu%20fosti%20tradito.pdf
S'altro che lagrime/若非泪水 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Servilia | http://theoperadatabase.com/PDFs/Mozart/Soprano/S%20altro%20che%20lagrime.pdf
Deh se piacer mi vuoi/若你想取悦我 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Vitellia | http://theoperadatabase.com/PDFs/Mozart/Soprano/Deh%20se%20piacer%20mi%20vuoi.pdf
Non più di fiori vaghe catene/不再有鲜花般迷人的枷锁 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Vitellia | http://theoperadatabase.com/PDFs/Mozart/Soprano/Non%20piu%20di%20fiori%20vaghe%20catene.pdf
Ah se fosse intorno al trono/若众星能环绕王座 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Tito | http://theoperadatabase.com/PDFs/Mozart/Tenor/Ah%20se%20fosse%20intorno%20al%20trono.pdf
Del più sublime soglio/至高无上的宝座 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Tito | http://theoperadatabase.com/PDFs/Mozart/Tenor/Del%20piu%20sublime%20soglio.pdf
Se all'impero, amici Dei/若为帝国，众神之友 | Mozart, Wolfgang Amadeus | La clemenza di Tito/狄托的仁慈 | Tito | http://theoperadatabase.com/PDFs/Mozart/Tenor/Se%20all%20impero%20amici%20Dei.pdf
A forza di martelli/锤击之力 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Roberto | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MTA1JnAyPTExNCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMDU=&cc=f113f9f51b9c46dcbf62428d86defaec
Con un vezzo all'Italiana/以意大利式的优雅 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Roberto | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MjgzJnAyPTI4OCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTQ=&cc=62e99a8a7ec4cbf04d415c38cf94af4f
Mirate che constrasto/看这矛盾 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Roberto | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9NDg4JnAyPTQ5OSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYyJTNBK0slM0ErMTk2JTJGMjQ=&cc=c18bbc10e58f96ac65b7f418f322a4c1
Un marito, oh Dio, vorresti/天哪，你想要一个丈夫 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Roberto | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MTY5JnAyPTE3MSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMDli&cc=5aaeb8503e56e3c81478bfbc05c858ff
Se promette facilmente/轻易许诺 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Arminda | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MTM0JnAyPTE0MiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMDc=&cc=4b52b5a0d90b8270e3465e4484744391
Vorrei punirti indegno/我要惩罚你这负心人 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Arminda | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MjYyJnAyPTI3NSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTM=&cc=2052cab073062853b87968a9d4d3022a
Ah dal pianto, dal singhiozzo/啊，从哭泣，从抽噎 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Marchioness Violante Onesti | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9NDA3JnAyPTQxNyZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMjI=&cc=1d40fb2b723ed452976c362576396c9c
Crudeli, fermate, crudeli/残忍的，停下吧，残忍的 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Marchioness Violante Onesti | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9Mzk3JnAyPTQwNiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMjE=&cc=0f8f67dba4ed2d392c526abb72fdf76c
Geme la tortorella/斑鸠在悲鸣 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Marchioness Violante Onesti | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MTgyJnAyPTE4OCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTE=&cc=62770ba15bcf8652a3895ac773b4d163
Noi donne poverine/我们这些可怜的女人 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Marchioness Violante Onesti | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9OTUmcDI9MTAzJmw9MiZ0aXRsZT1OTUErSUklMkY1JTJGOCUyRjElM0ErSyUzQSsxOTYlMkYwNA==&cc=914f724387b84799c0e64820057bd203
Una voce sento al core/我心中有个声音 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Marchioness Violante Onesti | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MzEzJnAyPTMyMiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTY=&cc=1e9a7015fd7c310865315e597687b44a
Dolce d'amor compagna/甜蜜的爱之伴侣 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Ramiro | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MzQ0JnAyPTM1NCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTg=&cc=9bbd3a390cfe532aabdbec56aa78a5ec
Se l'augellin sen fugge/若小鸟飞走 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Ramiro | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9NDUmcDI9NTQmbD0yJnRpdGxlPU5NQStJSSUyRjUlMkY4JTJGMSUzQStLJTNBKzE5NiUyRjAy&cc=b9e7a62cccd598e91402e6dcb1db2c1a
Va pure ad altri in braccio/任你投入他人怀抱 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Ramiro | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9NTIxJnAyPTUzMSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYyJTNBK0slM0ErMTk2JTJGMjY=&cc=890f7b087d58933c92aacc3c26ff7912
Appena mi vedon/他们一见到我 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Serpetta | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MTc0JnAyPTE4MSZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTA=&cc=62740786b772e5e04ad7de7a76d91bd0
Chi vuol godere il mondo/谁想享受这世界 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Serpetta | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9Mzg5JnAyPTM5NiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMjA=&cc=26bcc95d5dd4fd032b0f6f750593e442
Un marito, oh Dio, vorrei/哦，上帝，我渴望一个丈夫 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Serpetta | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MTY3JnAyPTE2OCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMDlh&cc=beeeafe5c3248ddc3626ebc5cc2f668d
Ah non partir...Già divento freddo/啊，别离开……我已浑身冰凉 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Count Belfiore | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MzY1JnAyPTM4MyZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTk=&cc=fe3a08a6a5f006fa7e150eb32f81b384
Care pupille, pupille belle/美丽的双眸，迷人的眼睛 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Count Belfiore | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9Mjk2JnAyPTMwOCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTU=&cc=3856f2a9371413c03dbf7ba7997a127c
Che beltà, che leggiadria/多么美丽，多么优雅 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Count Belfiore | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MTE5JnAyPTEyNiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMDY=&cc=0a5f4bc82bddd9d512efa2d4ab400475
Da Scirocco a Tramontana/从西罗科风到特拉蒙塔纳风 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Count Belfiore | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MTQ4JnAyPTE2NCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMDg=&cc=279e484ad8119fbc7b92b19517d62337
Dentro il mio petto io sento/我心中感到 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Don Anchises | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9NjAmcDI9ODcmbD0yJnRpdGxlPU5NQStJSSUyRjUlMkY4JTJGMSUzQStLJTNBKzE5NiUyRjAz&cc=152ecb2caf8bde57f6e4fa543c6aef0d
Mio padrone, io dir volevo/我的主人，我想说 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Don Anchises | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9NTA0JnAyPTUxOCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYyJTNBK0slM0ErMTk2JTJGMjU=&cc=f5b3f946aa6f70ca3657d8b9f75c1bb0
Una damina, una nipote/一位女士，一位侄女 | Mozart, Wolfgang Amadeus | La finta giardiniera/假扮园丁的姑娘 | Don Anchises | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDMmcDE9MzI4JnAyPTM0MiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjglMkYxJTNBK0slM0ErMTk2JTJGMTc=&cc=2dede6cdc62dbb5e3b603a1ec0986551
Ella vuole ed io torrei/她想要，我也愿意 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Cassandro | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9MTAyJnAyPTExMCZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjIlMkYxJTNBK0slM0ErNTElMkYwOCslMjg0NmElMkYwOCUyOQ==&cc=aa639bb3f641a271845238c2945f080e
Non c'è al mondo altro che donne/世上唯有女人 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Cassandro | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9NTEmcDI9NTQmbD0yJnRpdGxlPU5NQStJSSUyRjUlMkYyJTJGMSUzQStLJTNBKzUxJTJGMDQrJTI4NDZhJTJGMDQlMjk=&cc=bd71b6e21709fcc6dcb6bf43163e26ed
Ubriaco non son io/我并非醉汉 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Cassandro | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9MjA0JnAyPTIwNyZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjIlMkYyJTNBK0slM0ErNTElMkYxNislMjg0NmElMkYxNiUyOQ==&cc=98049ab7c7dccb3fc343723a490d287b
Con certe persone vuol esser bastone/对某些人就得用棍棒 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Simone | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9MTc2JnAyPTE4MiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjIlMkYyJTNBK0slM0ErNTElMkYxMyslMjg0NmElMkYxMyUyOQ==&cc=ba2184a85235384ab9f8af9fb401e404
Troppa briga a prender moglie/娶妻太费神 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Simone | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9MzYmcDI9NDImbD0yJnRpdGxlPU5NQStJSSUyRjUlMkYyJTJGMSUzQStLJTNBKzUxJTJGMDIrJTI4NDZhJTJGMDIlMjk=&cc=5b4f27057068fad0090f3b98db7bc185
Vieni, vieni, o mia Ninetta/来吧，来吧，我的妮内塔 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Simone | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9MzAxJnAyPTMwNiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjIlMkYyJTNBK0slM0ErNTElMkYyMislMjg0NmElMkYyMiUyOQ==&cc=2ea62c90601455258d0e9aa3674d4ec6
Che scompiglio, che flagello/多么混乱，多么灾难 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Giacinta | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9MzEzJnAyPTMyMiZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjIlMkYyJTNBK0slM0ErNTElMkYyNCslMjg0NmElMkYyNCUyOQ==&cc=57ca31b5341ef40870f6606f818a1576
Marito io vorrei/我想有个丈夫 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Giacinta | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9NDQmcDI9NTAmbD0yJnRpdGxlPU5NQStJSSUyRjUlMkYyJTJGMSUzQStLJTNBKzUxJTJGMDMrJTI4NDZhJTJGMDMlMjk=&cc=9638bd8dfd5d24626293fd5291119d51
Se a maritarmi arrivo/若我终将成婚 | Mozart, Wolfgang Amadeus | La finta semplice/假扮园丁的姑娘 | Giacinta | http://dme.mozarteum.at/DME/nma/nma_pdf.php?c=dnNlcD0zMDEmcDE9MTg2JnAyPTE5MyZsPTImdGl0bGU9Tk1BK0lJJTJGNSUyRjIlMkYyJTNBK0slM0ErNTElMkYxNCslMjg0NmElMkYxNCUyOQ==&cc=042462ec84c1b6de0563315ada128a99
